Time,Rate
2020-11-16 9:00:00,95
2020-11-16 12:00:00,94
2020-11-16 15:00:00,95
2020-11-16 18:00:00,95
2020-11-16 21:00:00,95
2020-11-17 0:00:00,96
2020-11-17 3:00:00,98
2020-11-17 6:00:00,96
2020-11-17 9:00:00,95
2020-11-17 12:00:00,95
2020-11-17 15:00:00,95
2020-11-17 18:00:00,95
2020-11-17 21:00:00,95
2020-11-18 0:00:00,97
2020-11-18 3:00:00,98
2020-11-18 6:00:00,97
2020-11-18 9:00:00,95
2020-11-18 12:00:00,94
2020-11-18 15:00:00,94
2020-11-18 18:00:00,94
2020-11-18 21:00:00,96
2020-11-19 0:00:00,97
2020-11-19 3:00:00,99
2020-11-19 6:00:00,90
2020-11-19 9:00:00,66
2020-11-19 12:00:00,95
2020-11-19 15:00:00,94
2020-11-19 18:00:00,94
2020-11-19 21:00:00,94
2020-11-20 0:00:00,96
2020-11-20 3:00:00,98
2020-11-20 6:00:00,95
2020-11-20 9:00:00,95
2020-11-20 12:00:00,94
2020-11-20 15:00:00,95
2020-11-20 18:00:00,95
2020-11-20 21:00:00,95
2020-11-21 0:00:00,97
2020-11-21 3:00:00,99
2020-11-21 6:00:00,78
2020-11-21 9:00:00,61
2020-11-21 12:00:00,95
2020-11-21 15:00:00,95
2020-11-21 18:00:00,96
2020-11-21 21:00:00,96
2020-11-22 0:00:00,97
2020-11-22 3:00:00,98
2020-11-22 6:00:00,97
2020-11-22 9:00:00,97
2020-11-22 12:00:00,95
2020-11-22 15:00:00,96
2020-11-22 18:00:00,96
2020-11-22 21:00:00,95
2020-11-23 0:00:00,97
2020-11-23 3:00:00,98
2020-11-23 6:00:00,97
2020-11-23 9:00:00,96
2020-11-23 12:00:00,94
2020-11-23 15:00:00,95
2020-11-23 18:00:00,91
2020-11-23 21:00:00,96
2020-11-24 0:00:00,97
2020-11-24 3:00:00,98
2020-11-24 6:00:00,97
2020-11-24 9:00:00,96
2020-11-24 12:00:00,95
2020-11-24 15:00:00,95
2020-11-24 18:00:00,95
2020-11-24 21:00:00,95
2020-11-25 0:00:00,96
2020-11-25 3:00:00,99
2020-11-25 6:00:00,97
2020-11-25 9:00:00,96
2020-11-25 12:00:00,94
2020-11-25 15:00:00,95
2020-11-25 18:00:00,96
2020-11-25 21:00:00,95
2020-11-26 0:00:00,95
2020-11-26 3:00:00,100
2020-11-26 6:00:00,96
2020-11-26 9:00:00,94
2020-11-26 12:00:00,83
2020-11-26 15:00:00,97
2020-11-26 18:00:00,97
2020-11-26 21:00:00,95
2020-11-27 0:00:00,98
2020-11-27 3:00:00,99
2020-11-27 6:00:00,98
2020-11-27 9:00:00,97
2020-11-27 12:00:00,97
2020-11-27 15:00:00,96
2020-11-27 18:00:00,97
2020-11-27 21:00:00,97
2020-11-28 0:00:00,96
2020-11-28 3:00:00,98
2020-11-28 6:00:00,98
2020-11-28 9:00:00,97
2020-11-28 12:00:00,97
2020-11-28 15:00:00,97
2020-11-28 18:00:00,97
2020-11-28 21:00:00,97
2020-11-29 0:00:00,97
2020-11-29 3:00:00,98
2020-11-29 6:00:00,99
2020-11-29 9:00:00,98
2020-11-29 12:00:00,98
2020-11-29 15:00:00,97
2020-11-29 18:00:00,97
2020-11-29 21:00:00,97
2020-11-30 0:00:00,99
2020-11-30 3:00:00,99
2020-11-30 6:00:00,97
2020-11-30 9:00:00,96
2020-11-30 12:00:00,96
2020-11-30 15:00:00,96
2020-11-30 18:00:00,97
2020-11-30 21:00:00,97
2020-12-01 0:00:00,97
2020-12-01 3:00:00,99
2020-12-01 6:00:00,97
2020-12-01 9:00:00,97
2020-12-01 12:00:00,96
2020-12-01 15:00:00,96
2020-12-01 18:00:00,95
2020-12-01 21:00:00,96
2020-12-02 0:00:00,96
2020-12-02 3:00:00,98
2020-12-02 6:00:00,98
2020-12-02 9:00:00,96
2020-12-02 12:00:00,95
2020-12-02 15:00:00,94
2020-12-02 18:00:00,96
2020-12-02 21:00:00,96
2020-12-03 0:00:00,97
2020-12-03 3:00:00,99
2020-12-03 6:00:00,97
2020-12-03 9:00:00,96
2020-12-03 12:00:00,94
2020-12-03 15:00:00,62
2020-12-03 18:00:00,95
2020-12-03 21:00:00,96
2020-12-04 0:00:00,96
2020-12-04 3:00:00,99
2020-12-04 6:00:00,97
2020-12-04 9:00:00,96
2020-12-04 12:00:00,95
2020-12-04 15:00:00,96
2020-12-04 18:00:00,97
2020-12-04 21:00:00,96
2020-12-05 0:00:00,98
2020-12-05 3:00:00,99
2020-12-05 6:00:00,99
2020-12-05 9:00:00,97
2020-12-05 12:00:00,96
2020-12-05 15:00:00,97
2020-12-05 18:00:00,95
2020-12-05 21:00:00,96
2020-12-06 0:00:00,97
2020-12-06 3:00:00,98
2020-12-06 6:00:00,99
2020-12-06 9:00:00,90
2020-12-06 12:00:00,80
2020-12-06 15:00:00,88
2020-12-06 18:00:00,91
2020-12-06 21:00:00,91
2020-12-07 0:00:00,94
2020-12-07 3:00:00,96
2020-12-07 6:00:00,95
2020-12-07 9:00:00,93
2020-12-07 12:00:00,90
2020-12-07 15:00:00,94
2020-12-07 18:00:00,97
2020-12-07 21:00:00,96
2020-12-08 0:00:00,98
2020-12-08 3:00:00,97
2020-12-08 6:00:00,96
2020-12-08 9:00:00,97
2020-12-08 12:00:00,96
2020-12-08 15:00:00,96
2020-12-08 18:00:00,95
2020-12-08 21:00:00,97
2020-12-09 0:00:00,96
2020-12-09 3:00:00,97
2020-12-09 6:00:00,97
2020-12-09 9:00:00,97
2020-12-09 12:00:00,95
2020-12-09 15:00:00,97
2020-12-09 18:00:00,96
2020-12-09 21:00:00,96
2020-12-10 0:00:00,96
2020-12-10 3:00:00,97
2020-12-10 6:00:00,96
2020-12-10 9:00:00,94
2020-12-10 12:00:00,94
2020-12-10 15:00:00,95
2020-12-10 18:00:00,96
2020-12-10 21:00:00,96
2020-12-11 0:00:00,98
2020-12-11 3:00:00,98
2020-12-11 6:00:00,97
2020-12-11 9:00:00,95
2020-12-11 12:00:00,94
2020-12-11 15:00:00,95
2020-12-11 18:00:00,96
2020-12-11 21:00:00,96
2020-12-12 0:00:00,95
2020-12-12 3:00:00,97
2020-12-12 6:00:00,95
2020-12-12 9:00:00,96
2020-12-12 12:00:00,96
2020-12-12 15:00:00,96
2020-12-12 18:00:00,96
2020-12-12 21:00:00,95
2020-12-13 0:00:00,96
2020-12-13 3:00:00,98
2020-12-13 6:00:00,98
2020-12-13 9:00:00,97
2020-12-13 12:00:00,96
2020-12-13 15:00:00,96
2020-12-13 18:00:00,96
2020-12-13 21:00:00,96
2020-12-14 0:00:00,98
2020-12-14 3:00:00,97
2020-12-14 6:00:00,96
2020-12-14 9:00:00,96
2020-12-14 12:00:00,96
2020-12-14 15:00:00,96
2020-12-14 18:00:00,97
2020-12-14 21:00:00,96
2020-12-15 0:00:00,96
2020-12-15 3:00:00,98
2020-12-15 6:00:00,97
2020-12-15 9:00:00,96
2020-12-15 12:00:00,96
2020-12-15 15:00:00,95
2020-12-15 18:00:00,96
2020-12-15 21:00:00,96
2020-12-16 0:00:00,97
2020-12-16 3:00:00,99
2020-12-16 6:00:00,97
2020-12-16 9:00:00,97